                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7974,                 1.8413,                 1.2546,                0.70829,                0.50763,                0.52923,                0.20592,                 1.9522,                  1.371,                 1.2778,              0.0033244,              0.0033244,              0.0033244
                      2,                 1.6705,                 1.2773,                 1.1831,                0.67906,                0.52487,                0.53465,                 0.2075,                 1.9247,                 1.2963,                 1.2484,              0.0066358,              0.0066358,              0.0066358
                      3,                 1.7053,                 1.2197,                 1.2005,                0.71554,                0.55338,                0.57384,                0.25379,                 1.7931,                 1.3029,                 1.2807,              0.0099251,              0.0099251,              0.0099251
                      4,                 1.6988,                 1.1647,                 1.2172,                0.70824,                0.59317,                0.60133,                0.24083,                 1.8805,                 1.2115,                 1.2819,               0.009901,               0.009901,               0.009901
                      5,                 1.6665,                 1.0914,                 1.1986,                0.70856,                0.55968,                0.59899,                0.29029,                 1.6349,                 1.2697,                 1.2274,               0.009868,               0.009868,               0.009868
                      6,                 1.6361,                 1.0532,                 1.1897,                0.75454,                0.58853,                0.62872,                0.28329,                 1.7325,                 1.0866,                  1.244,               0.009835,               0.009835,               0.009835
                      7,                 1.6081,                 1.0132,                 1.1773,                0.75193,                0.59184,                0.63257,                0.31684,                 1.5935,                 1.0229,                 1.2012,               0.009802,               0.009802,               0.009802
                      8,                 1.5942,                0.99266,                 1.1688,                0.74213,                0.60593,                0.64153,                 0.3107,                 1.6448,                0.98357,                 1.2135,               0.009769,               0.009769,               0.009769
                      9,                 1.5678,                0.96617,                 1.1604,                0.76039,                0.59029,                0.64636,                0.32326,                  1.583,                0.96585,                 1.1829,               0.009736,               0.009736,               0.009736
                     10,                 1.5525,                0.95494,                 1.1618,                0.76886,                0.61936,                0.66243,                0.32239,                 1.6595,                 1.0265,                 1.2305,               0.009703,               0.009703,               0.009703
                     11,                 1.5512,                 0.9463,                 1.1509,                0.78026,                0.60975,                0.66229,                0.29921,                 1.7106,                 1.0008,                 1.2229,                0.00967,                0.00967,                0.00967
                     12,                 1.5299,                0.92347,                 1.1417,                0.76605,                0.59847,                0.66014,                 0.3283,                 1.5831,                 0.9871,                 1.2078,               0.009637,               0.009637,               0.009637
                     13,                 1.5161,                0.90254,                 1.1385,                0.76974,                0.62069,                0.66218,                 0.3344,                 1.5651,                0.93039,                 1.1801,               0.009604,               0.009604,               0.009604
                     14,                 1.5063,                0.90001,                 1.1416,                0.77165,                  0.614,                0.66138,                0.31337,                 1.6477,                0.95721,                 1.2149,               0.009571,               0.009571,               0.009571
                     15,                 1.5055,                0.89069,                 1.1355,                0.76122,                0.63329,                0.66665,                0.31704,                 1.6298,                 0.9413,                 1.2088,               0.009538,               0.009538,               0.009538
                     16,                  1.484,                0.87625,                 1.1353,                0.76495,                0.62693,                0.67483,                0.33682,                 1.5514,                0.90964,                 1.1798,               0.009505,               0.009505,               0.009505
                     17,                 1.4785,                0.86726,                 1.1253,                0.75736,                0.63992,                 0.6811,                0.33286,                 1.6346,                0.92565,                 1.2037,               0.009472,               0.009472,               0.009472
                     18,                 1.4885,                0.86445,                 1.1272,                0.76896,                0.63859,                0.68623,                0.33231,                 1.6088,                0.94378,                 1.2021,               0.009439,               0.009439,               0.009439
                     19,                 1.4788,                0.86159,                  1.126,                0.78232,                0.62918,                0.68365,                0.34054,                 1.5674,                0.87673,                 1.1729,               0.009406,               0.009406,               0.009406
                     20,                 1.4545,                0.83965,                 1.1171,                0.76618,                0.64058,                0.69214,                0.34995,                 1.5396,                0.90304,                 1.1797,               0.009373,               0.009373,               0.009373
                     21,                 1.4574,                0.84629,                 1.1235,                0.78006,                0.64091,                0.68996,                0.34029,                 1.5887,                0.93018,                 1.1913,                0.00934,                0.00934,                0.00934
                     22,                 1.4551,                  0.837,                 1.1167,                0.78382,                0.63163,                0.68013,                0.34718,                 1.5431,                0.92053,                 1.1718,               0.009307,               0.009307,               0.009307
                     23,                 1.4305,                0.82256,                 1.1047,                0.75611,                 0.6555,                0.69129,                0.34815,                 1.5509,                0.89345,                 1.1849,               0.009274,               0.009274,               0.009274
                     24,                 1.4441,                0.82517,                 1.1085,                0.77472,                0.64788,                 0.6929,                0.35892,                 1.4992,                0.86559,                  1.169,               0.009241,               0.009241,               0.009241
                     25,                 1.4258,                0.81907,                 1.1049,                0.79126,                0.63826,                0.69487,                0.34698,                 1.5851,                0.86764,                  1.185,               0.009208,               0.009208,               0.009208
                     26,                 1.4241,                0.80881,                 1.1062,                0.77839,                 0.6439,                0.70095,                0.35109,                  1.575,                0.86398,                 1.1785,               0.009175,               0.009175,               0.009175
                     27,                 1.4184,                0.81316,                 1.1052,                 0.7764,                0.64092,                  0.693,                0.36166,                 1.4667,                0.86109,                 1.1536,               0.009142,               0.009142,               0.009142
                     28,                 1.4026,                 0.7965,                 1.0929,                0.76632,                0.65153,                0.70311,                0.36012,                 1.5358,                0.85937,                 1.1885,               0.009109,               0.009109,               0.009109
                     29,                 1.4113,                0.79715,                 1.0984,                0.77587,                0.65195,                0.69793,                0.35636,                 1.4985,                0.84711,                 1.1527,               0.009076,               0.009076,               0.009076
                     30,                 1.4014,                0.78875,                 1.0943,                0.78183,                0.63923,                 0.6916,                0.36267,                 1.5009,                0.86534,                 1.1642,               0.009043,               0.009043,               0.009043
                     31,                 1.4117,                0.80113,                 1.1004,                0.77383,                0.64775,                0.69428,                0.36338,                  1.478,                0.85646,                 1.1621,                0.00901,                0.00901,                0.00901
                     32,                 1.3898,                0.78421,                 1.0943,                0.78564,                0.65219,                0.71085,                0.37156,                 1.5129,                 0.8454,                 1.1644,               0.008977,               0.008977,               0.008977
                     33,                  1.397,                0.78405,                 1.0916,                 0.7572,                0.65948,                0.69616,                 0.3679,                 1.4946,                0.84068,                 1.1559,               0.008944,               0.008944,               0.008944
                     34,                 1.3806,                0.77603,                 1.0906,                0.78391,                0.64721,                0.70068,                  0.356,                 1.5377,                0.83876,                 1.1673,               0.008911,               0.008911,               0.008911
                     35,                 1.3827,                0.77359,                 1.0858,                0.77722,                0.65704,                0.70524,                0.36433,                 1.4939,                0.83912,                 1.1424,               0.008878,               0.008878,               0.008878
