                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8047,                 1.8634,                 1.2555,                 0.7246,                0.53476,                0.58296,                0.24862,                 1.8278,                 1.3429,                 1.2529,              0.0033244,              0.0033244,              0.0033244
                      2,                 1.6801,                 1.2755,                 1.1821,                0.69834,                0.53647,                0.55704,                0.22024,                  1.923,                 1.2772,                 1.3053,              0.0066211,              0.0066211,              0.0066211
                      3,                 1.6988,                 1.2013,                 1.1932,                0.71011,                  0.563,                0.58674,                0.26025,                 1.7211,                 1.1288,                 1.2204,              0.0098812,              0.0098812,              0.0098812
                      4,                 1.7169,                 1.1711,                  1.215,                0.72842,                0.57271,                0.61624,                0.28156,                 1.7622,                 1.1523,                 1.2662,               0.009835,               0.009835,               0.009835
                      5,                 1.6497,                 1.0848,                 1.1947,                0.75469,                0.58449,                0.63846,                 0.2815,                 1.7767,                 1.1114,                 1.2665,                0.00978,                0.00978,                0.00978
                      6,                 1.6351,                  1.051,                 1.1831,                0.75947,                0.60511,                0.64843,                0.28188,                  1.801,                 1.1205,                 1.2962,               0.009725,               0.009725,               0.009725
                      7,                 1.6117,                  1.023,                  1.186,                0.72507,                0.59549,                0.63035,                0.29952,                 1.6459,                 1.0647,                 1.2185,                0.00967,                0.00967,                0.00967
                      8,                 1.5878,                0.99399,                 1.1696,                0.74418,                0.60444,                 0.6496,                0.31647,                 1.6168,                0.99765,                 1.2158,               0.009615,               0.009615,               0.009615
                      9,                 1.5659,                0.96856,                 1.1674,                 0.7528,                0.62168,                0.66422,                 0.3211,                 1.6483,                 1.0138,                 1.2303,                0.00956,                0.00956,                0.00956
                     10,                 1.5514,                0.94169,                 1.1533,                0.75754,                0.61572,                0.65676,                0.33417,                 1.5508,                0.98531,                 1.1847,               0.009505,               0.009505,               0.009505
                     11,                 1.5405,                0.93491,                 1.1498,                0.75206,                0.61046,                0.66238,                0.31904,                 1.6618,                0.96891,                 1.2119,                0.00945,                0.00945,                0.00945
                     12,                 1.5214,                0.91118,                 1.1419,                0.79055,                0.60477,                0.66971,                0.33285,                 1.5842,                0.96001,                 1.2026,               0.009395,               0.009395,               0.009395
                     13,                 1.5111,                0.90572,                 1.1324,                0.75162,                0.63211,                0.67602,                0.34429,                  1.558,                0.94147,                  1.202,                0.00934,                0.00934,                0.00934
                     14,                 1.5048,                0.89935,                 1.1395,                0.77166,                0.61969,                0.67338,                0.34202,                 1.5351,                0.93201,                 1.1701,               0.009285,               0.009285,               0.009285
                     15,                 1.4851,                0.87551,                 1.1199,                0.74522,                0.61971,                0.66767,                0.34479,                 1.5237,                0.92016,                 1.1792,                0.00923,                0.00923,                0.00923
                     16,                 1.4923,                0.87601,                   1.13,                0.76013,                0.63044,                0.68098,                0.35646,                 1.4832,                  0.925,                 1.1582,               0.009175,               0.009175,               0.009175
                     17,                 1.4736,                0.87083,                 1.1228,                0.75538,                0.63395,                0.67795,                0.34072,                 1.5355,                0.92734,                 1.1669,                0.00912,                0.00912,                0.00912
                     18,                 1.4732,                0.85885,                  1.122,                0.76843,                0.62495,                0.67241,                0.33028,                 1.5982,                0.93707,                 1.1933,               0.009065,               0.009065,               0.009065
                     19,                 1.4683,                 0.8604,                  1.119,                0.77893,                0.63362,                0.69049,                0.34926,                 1.5474,                 0.8929,                 1.1693,                0.00901,                0.00901,                0.00901
                     20,                 1.4509,                0.84798,                 1.1178,                0.75017,                0.64414,                0.68955,                0.35179,                  1.517,                0.89382,                 1.1638,               0.008955,               0.008955,               0.008955
                     21,                 1.4509,                0.83304,                  1.109,                0.75651,                0.63561,                0.68472,                0.34435,                 1.5396,                0.88908,                 1.1693,                 0.0089,                 0.0089,                 0.0089
                     22,                  1.441,                0.83059,                 1.1103,                0.77447,                0.64218,                0.68972,                0.35533,                 1.4918,                0.88297,                 1.1452,               0.008845,               0.008845,               0.008845
                     23,                 1.4267,                0.81432,                 1.1048,                0.77466,                0.63263,                0.68793,                0.34342,                 1.5705,                0.89175,                 1.1895,                0.00879,                0.00879,                0.00879
                     24,                 1.4286,                0.81786,                 1.1042,                0.75014,                0.64505,                0.68652,                0.35311,                 1.5116,                0.87712,                 1.1611,               0.008735,               0.008735,               0.008735
                     25,                  1.424,                0.80956,                  1.103,                0.78827,                0.64191,                0.69746,                0.36142,                 1.4762,                0.88308,                 1.1577,                0.00868,                0.00868,                0.00868
                     26,                 1.4166,                0.80463,                 1.1007,                0.77065,                0.64841,                0.68925,                0.35199,                 1.5063,                0.89063,                 1.1478,               0.008625,               0.008625,               0.008625
                     27,                 1.4196,                0.80702,                 1.1026,                0.76554,                0.63893,                0.68741,                0.36217,                 1.4735,                0.87124,                 1.1572,                0.00857,                0.00857,                0.00857
                     28,                 1.4118,                0.79528,                 1.0943,                0.76896,                0.64227,                0.69003,                0.36432,                 1.4684,                0.86976,                 1.1528,               0.008515,               0.008515,               0.008515
                     29,                 1.4037,                0.79149,                 1.0928,                0.78105,                0.65385,                0.70202,                0.36599,                 1.4991,                0.85721,                 1.1676,                0.00846,                0.00846,                0.00846
                     30,                 1.3974,                0.79099,                 1.0935,                0.77736,                0.63926,                0.69697,                0.35684,                 1.4996,                0.85632,                 1.1669,               0.008405,               0.008405,               0.008405
